Latitude,Longitude,Altitude,temp,pressure,wind_speed,clouds_all,Wind_Sin,Wind_Cos
41.693398,27.322674,24652.746,277.58228,1010.35535,1.4328588,95.05867,0.22269268,0.4371438
41.683384,27.341312,24437.49,277.59726,1010.33374,1.4369539,95.02018,0.2215801,0.43641025
41.673367,27.360136,24218.172,277.61346,1010.3117,1.4410831,94.9782,0.22043042,0.43564448
41.663353,27.379154,23994.703,277.63095,1010.28925,1.4452478,94.93264,0.21924259,0.43484545
41.65334,27.398361,23766.992,277.64972,1010.26636,1.4494485,94.88338,0.21801548,0.43401214
41.643333,27.417763,23534.959,277.66983,1010.243,1.4536856,94.83032,0.21674804,0.4331434
41.633335,27.437359,23298.521,277.69135,1010.2192,1.45796,94.77335,0.21543916,0.4322381
41.623356,27.457148,23057.59,277.71426,1010.1949,1.4622723,94.712364,0.21408774,0.43129504
41.613396,27.477133,22812.096,277.73865,1010.1701,1.4666225,94.64724,0.21269281,0.43031302
41.60346,27.497313,22561.959,277.76453,1010.14484,1.4710118,94.57787,0.21125315,0.42929092
41.593555,27.517687,22307.12,277.79196,1010.1191,1.4754413,94.50415,0.20976798,0.42822737
41.583687,27.538252,22047.51,277.82098,1010.0928,1.4799105,94.42597,0.20823617,0.42712137
41.573864,27.559013,21783.07,277.85162,1010.0659,1.4844211,94.3432,0.20665659,0.4259715
41.564087,27.57996,21513.758,277.88394,1010.0385,1.488973,94.25574,0.2050284,0.4247765
41.554367,27.601091,21239.523,277.91794,1010.0105,1.4935671,94.16346,0.20335077,0.42353505
41.544716,27.622406,20960.338,277.9537,1009.98193,1.4982034,94.06628,0.20162289,0.42224613
41.535137,27.643898,20676.176,277.99124,1009.95276,1.5028826,93.96407,0.1998439,0.4209083
41.525642,27.665562,20387.033,278.0306,1009.923,1.5076059,93.856735,0.19801311,0.41952035
41.516235,27.687391,20092.902,278.0718,1009.8926,1.512374,93.74418,0.19612987,0.41808096
41.506935,27.70938,19793.8,278.1149,1009.8615,1.5171865,93.62629,0.19419388,0.416589
41.49774,27.73152,19489.754,278.15988,1009.8298,1.5220443,93.50299,0.19220452,0.4150432
41.488674,27.7538,19180.807,278.20682,1009.7973,1.5269476,93.37419,0.19016175,0.41344258
41.479744,27.776215,18867.016,278.2557,1009.7642,1.5318972,93.23982,0.18806519,0.4117858
41.470955,27.798748,18548.459,278.30658,1009.73035,1.5368928,93.099815,0.18591495,0.41007197
41.462326,27.821392,18225.234,278.35944,1009.69574,1.5419353,92.9541,0.18371125,0.40829998
41.45387,27.844131,17897.457,278.4143,1009.6604,1.5470248,92.80264,0.18145438,0.40646896
41.4456,27.866953,17565.264,278.4712,1009.62427,1.5521613,92.64539,0.17914476,0.40457806
41.437523,27.889841,17228.807,278.5301,1009.5874,1.5573455,92.48233,0.17678325,0.4026263
41.429657,27.912779,16888.268,278.591,1009.5497,1.5625769,92.313446,0.17437075,0.40061313
41.422016,27.935747,16543.85,278.6539,1009.5111,1.5678557,92.13873,0.17190833,0.3985379
41.414616,27.958729,16195.773,278.7188,1009.47174,1.573181,91.958206,0.16939737,0.3964002
41.407467,27.981705,15844.285,278.78568,1009.4315,1.5785533,91.77191,0.16683953,0.39419958
41.40058,28.004654,15489.653,278.8545,1009.3904,1.5839719,91.57988,0.16423656,0.39193568
41.39398,28.027555,15132.164,278.92523,1009.3484,1.5894364,91.38218,0.16159038,0.38960844
41.387665,28.050383,14772.139,278.9978,1009.3054,1.5949463,91.178894,0.1589034,0.3872178
